,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,dewPointC,windGustKmph
statusN,1.0,0.10201416492654833,0.003189586307998402,-0.009171926689555595,0.012120818649943984,-0.0056163771131497306,-0.01131031888548815,0.023198324410565664,-0.05188085566088664,-0.016688399280920623,0.003955891037408559,-0.01571778654395718
statusS,0.10201416492654833,1.0,-0.37445135969262094,-0.16346984830611416,-0.15355593007506144,-0.13392131300015123,0.34364029339160435,0.09082774740747206,0.08883401211145935,0.04248321523939742,-0.0219995036147988,-0.13168096551721126
tempC,0.003189586307998402,-0.37445135969262094,1.0,0.04033353124791944,0.5126306037032567,0.12657127494229833,-0.8131794975050552,-0.019227849680046098,-0.3203332326212187,-0.12566099201225892,0.31101064332577144,-0.09601542969473548
windspeedKmph,-0.009171926689555595,-0.16346984830611416,0.04033353124791944,1.0,0.02914117659426519,0.04544205146288468,-0.22691998798401847,-0.0786341612025549,0.10633717209780798,0.03575144438793365,-0.3324972293287351,0.9661913174087179
cond,0.012120818649943984,-0.15355593007506144,0.5126306037032567,0.02914117659426519,1.0,0.0942761668633941,-0.47439335396138216,-0.092321093307041,-0.1291257444051552,-0.004109656990140082,0.09423937390311567,-0.042614473596461436
precipMM,-0.0056163771131497306,-0.13392131300015123,0.12657127494229833,0.04544205146288468,0.0942761668633941,1.0,0.18065678870789087,-0.7367988453318789,-0.5593653957047747,0.5356205400601266,0.5222741814030196,0.1142159945533863
humidity,-0.01131031888548815,0.34364029339160435,-0.8131794975050552,-0.22691998798401847,-0.47439335396138216,0.18065678870789087,1.0,-0.23689815375134426,-0.06316607503638627,0.26023748527619806,0.2120134648417633,-0.077295038437547
visibility,0.023198324410565664,0.09082774740747206,-0.019227849680046098,-0.0786341612025549,-0.092321093307041,-0.7367988453318789,-0.23689815375134426,1.0,0.4207530748043863,-0.419712600197493,-0.4060936937763918,-0.1534516898956473
pressure,-0.05188085566088664,0.08883401211145935,-0.3203332326212187,0.10633717209780798,-0.1291257444051552,-0.5593653957047747,-0.06316607503638627,0.4207530748043863,1.0,-0.3128118292639399,-0.6438724334992945,0.09049792810347562
cloudcover,-0.016688399280920623,0.04248321523939742,-0.12566099201225892,0.03575144438793365,-0.004109656990140082,0.5356205400601266,0.26023748527619806,-0.419712600197493,-0.3128118292639399,1.0,0.23029632811690443,0.1249069094695492
dewPointC,0.003955891037408559,-0.0219995036147988,0.31101064332577144,-0.3324972293287351,0.09423937390311567,0.5222741814030196,0.2120134648417633,-0.4060936937763918,-0.6438724334992945,0.23029632811690443,1.0,-0.3290963539627053
windGustKmph,-0.01571778654395718,-0.13168096551721126,-0.09601542969473548,0.9661913174087179,-0.042614473596461436,0.1142159945533863,-0.077295038437547,-0.1534516898956473,0.09049792810347562,0.1249069094695492,-0.3290963539627053,1.0
